il_kod,ilce,lat,lon
28,GİRESUN,40.91281100,38.38953000
28,GÖRELE,41.03180440,39.00138110
28,GÜCE,40.89347960,38.80598830
28,KEŞAP,40.91666670,38.51666670
28,PİRAZİZ,40.95154920,38.12008370
28,ŞEBİNKARAHİSAR,40.28978750,38.42098940
28,TİREBOLU,41.00510240,38.81410590
28,YAĞLIDERE,40.86162330,38.62549810
29,GÜMÜŞHANE,40.46027780,39.48138890
29,KELKİT,40.12861110,39.43833330
29,KÖSE,40.21036900,39.65073000
29,KÜRTÜN,40.69098660,39.10299130
29,ŞİRAN,40.18944440,39.12666670
29,TORUL,40.55722220,39.29194440
30,ÇUKURCA,37.25055560,43.61666670
30,HAKKARİ,37.58333330,43.73333330
30,ŞEMDİNLİ,37.30283110,44.57486960
30,YÜKSEKOVA,37.56666670,44.28333330
31,ALTINÖZÜ,36.11666670,36.25000000
31,ANTAKYA,36.20015000,36.17618900
31,BELEN,36.49270000,36.19330000
31,DÖRTYOL,36.85603000,36.22232800
31,ERZİN,36.95390000,36.20220000
31,HASSA,36.79940000,36.51780000
31,İSKENDERUN,36.58686300,36.17257100
31,KIRIKHAN,36.49795900,36.36412800
31,KUMLU,36.37173860,36.45537270
31,REYHANLI,36.26718100,36.57366900
31,SAMANDAĞ,36.08239000,35.99932100
31,YAYLADAĞI,35.90250000,36.06060000
32,AKSU,37.79900000,31.07100000
32,ATABEY,37.95236230,30.64587490
32,EĞİRDİR(EĞRİDİR),38.02375670,30.87286150
32,GELENDOST,38.12398900,31.01135100
32,GÖNEN,37.95861100,30.51439100
32,ISPARTA,37.76666670,30.55000000
32,KEÇİBORLU,37.94819940,30.30607060
32,SENİRKENT,38.10540910,30.54805780
32,SÜTÇÜLER,37.48725100,30.98963000
32,ŞARKİKARAAĞAÇ,38.08127200,31.36702830
32,ULUBORLU,38.07890040,30.45592580
32,YALVAÇ,38.29523100,31.18022900
32,YENİŞARBADEMLİ,37.70806910,31.38560880
33,AKDENİZ,36.80000000,34.63333330
33,ANAMUR,36.07515000,32.83853900
33,AYDINCIK,36.14169480,33.31774790
33,BOZYAZI,36.10306320,32.97475120
33,ÇAMLIYAYLA,37.17013900,34.60825000
33,ERDEMLİ,36.60776900,34.31613900
33,GÜLNAR (GÜLPINAR),36.80000000,34.63333330
33,MEZİTLİ,36.80000000,34.63333330
33,MUT,36.64433600,33.43554990
33,SİLİFKE,36.37530140,33.93318740
33,TARSUS,36.91666670,34.90000000
33,TOROSLAR,36.80000000,34.63333330
33,YENİŞEHİR,36.86618590,34.48635670
34,ADALAR,40.87637720,29.09544400
34,ARNAVUTKÖY,41.20000000,28.73333300
34,ATAŞEHİR,40.98333330,29.11666670
34,AVCILAR,41.01534790,28.73146180
34,BAĞCILAR,41.04555560,28.84055560
34,BAHÇELİEVLER,40.99750000,28.85055560
34,BAKIRKÖY,40.96815500,28.82280000
34,BAŞAKŞEHİR,41.07789500,28.81255100
34,BAYRAMPAŞA,41.04815030,28.90045530
34,BEŞİKTAŞ,41.06861600,29.02853550
34,BEYKOZ,41.13271900,29.10569000
34,BEYLİKDÜZÜ,40.99103810,28.64981440
34,BEYOĞLU,41.03828640,28.97033040
34,BÜYÜKÇEKMECE,41.03413300,28.59000300
34,ÇATALCA,41.14823900,28.46773000
34,ÇEKMEKÖY,41.10423500,29.31772720
34,ESENLER,41.07941330,28.85385450
34,ESENYURT,41.03428060,28.68011940
34,EYÜP,41.18715980,28.88298160
34,FATİH,41.01666670,28.93333330
34,GAZİOSMANPAŞA,41.07594770,28.90045530
34,GÜNGÖREN,41.01666670,28.88333330
34,KADIKÖY,40.98014100,29.08227000
34,KAĞITHANE,41.07100000,28.97000000
34,KARTAL,40.89965100,29.19364900
34,KÜÇÜKÇEKMECE,41.00865800,28.77534200
34,MALTEPE,40.94904700,29.17410900
34,PENDİK,40.87932600,29.25813500
34,SANCAKTEPE,41.02870280,29.29018290
34,SARIYER,41.16632800,29.04995000
34,SİLİVRİ,41.08015800,28.26829000
34,SULTANBEYLİ,40.96111230,29.26694380
34,SULTANGAZİ,41.12557940,28.87133140
34,ŞİLE,41.17638890,29.61277780
34,ŞİŞLİ,41.06000000,28.98700000
34,TUZLA,40.84200000,29.29500000
34,ÜMRANİYE,41.03030000,29.10650000
34,ÜSKÜDAR,41.03223600,29.03193800
34,ZEYTİNBURNU,40.99063500,28.89614000
35,ALİAĞA,38.79500000,26.97027780
35,BALÇOVA,38.36929400,27.09344200
35,BAYINDIR,38.22856500,27.64653300
35,BAYRAKLI,38.46222220,27.16666670
35,BERGAMA,39.11666670,27.18333330
